EST;X688_arroz_1;X688_arroz_2;X688_arroz_3;X688_milho_1;X688_milho_2;X688_milho_3;CNPA_arroz_1;CNPA_arroz_2;CNPA_arroz_3;CNPA_milho_1;CNPA_milho_2;CNPA_milho_3;dieta_arroz_1;dieta_arroz_2;dieta_arroz_3;dieta_milho_1;dieta_milho_2;dieta_milho_3;fm993_arroz_1;fm993_arroz_2;fm993_arroz_3;fm993_milho_1;fm993_milho_2;fm993_milho_3;puita_arroz_1;puita_arroz_2;puita_arroz_3;puita_milho_1;puita_milho_2;puita_milho_3
SF1P00964-5-1;0;0;6.02;0;0;7.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.66;0;0;11.5;0;0;0;0;0;4.47
SF1P00965-5-1;13.76;22.59;0;7.05;30.43;0;7.84;3.57;5.39;6.86;3.15;2.77;27.47;2.12;4.5;35.98;5.88;3.51;3.17;16.21;0;4.53;5.48;0;2.99;2.47;19.08;5.73;7.79;0.36
SF1P00974-5-1;1.65;3.55;0;1.76;4.68;0;11.29;2.91;3.87;6.13;5.18;1.85;4.52;4.4;2.05;4.43;2.71;1.74;4.13;1.52;0;3.38;2.23;0;1.44;4.06;4.36;1.98;3.65;0
SF1P00981-5-1;4.49;1.71;0;7.17;2.15;0;1.11;4.72;3.9;6.57;9.26;3.8;1.99;1.14;10.74;2.79;2.54;7.47;2.19;3.68;0;2.68;7.42;0;9.68;1.48;1.22;16.25;5.79;0.21
SF1P00982-5-1;4.94;12.44;0;2.24;1.69;0;7.08;5.39;10.42;2.59;0.66;1.18;10.46;7.41;3.93;1.05;2.57;2.78;7.52;6.35;0;4.15;3.76;0;5.25;5.81;9.06;2.09;3.93;0
SF1P00985-5-1;1.27;2.71;0;1.66;1.67;0;1.6;1.13;1.36;1.51;1.57;1.4;2.29;1.14;1.19;2.11;1.52;3.08;1.51;1.31;0;1.44;1.95;0;1.33;1.14;1.36;1.72;1.62;0.04
SF1P00986-5-1;2.65;15.05;0;0.62;9.32;0;8.69;6.15;9.06;5.25;2.15;2.15;21.21;7.29;2.63;12.01;7.33;2.66;7.1;3.05;0;5.5;2.05;0;3.48;9.7;12.52;4.47;3.71;0.05
SF1P00993-5-1;58.43;87.54;0;3.83;6.81;0;31.89;33.67;26.9;11.93;2.99;2.19;120.6;13.15;54.37;4.97;4.08;3.76;25.41;36.2;0;11.5;12.96;0;21.71;13.59;79.89;4.61;18.07;0.12
SF1P00998-5-1;3.01;5.42;0;4.78;8.8;0;1.98;0.62;12.36;11.97;2.09;5.79;5.06;8.7;0;8.52;11.4;3.07;8.12;8.57;0.11;8.89;13.85;0;0.52;42.93;6.04;0;13.78;0.43
SF1P01003-5-1;0.37;1.38;0;0.63;2.89;0;1.32;0.37;2.61;1.48;2;1.97;1.48;3.3;0;3.5;2.2;1.27;1.19;0.27;0;1.44;1.97;0;0.62;4.21;2.03;0.95;1.25;0.29
SF1P01015-5-1;2.97;3.55;0;4.13;15.37;0;2.82;3.13;6.57;10;10.37;12.23;4.17;5.27;1.98;7.11;10.06;6.79;5.41;1.98;0;9.35;7.42;0;1.51;4.59;3.5;9.59;21.03;0.85
SF1P01016-5-1;7.44;5.68;0;7.49;15.85;0;4.44;0.38;21.92;14.69;3.22;3.69;7.61;38.65;0.35;8.49;13.93;3.44;14.7;17.52;0;11.62;20.79;0;1.32;78.71;7.94;0;12.23;0.54
SF1P01018-5-1;3.4;1.19;0;2.32;1.02;0;1.35;3.26;2.95;2.9;1.96;2.77;0.33;1.75;3.19;0.52;1.77;3.86;1.42;2.92;0;2.17;2.7;0;5.34;2.62;1.7;2.6;1.94;0.09
SF1P01028-5-1;1.4;21.69;0;2.97;9.37;0;11.29;1.65;0.89;5.13;0.94;2.42;11.33;5.39;2.54;26.54;2.76;0.69;2.38;1.72;0;2.69;4.71;0;1.86;1.9;9.15;3.7;3.87;0.43
SF1P01031-5-1;0.85;4.88;0;0.21;0.79;0;2.03;0.41;1.25;0.3;0;0;5.87;1.96;0;1.08;0.4;0;1.46;0.18;0;0.44;0.44;0;0.34;1.43;4.66;0.39;0.82;0
SF1P01045-5-1;45.95;69.52;0;37.24;49.89;0;41.79;39.61;52.29;29.31;22.4;10.56;81.98;41.81;65.41;55.18;26.63;22.14;50.48;55.84;0.08;29.15;33.94;0;33.29;41.58;71.8;42.71;34.73;4.71
SF1P01054-5-1;13.62;7.51;0;15.62;4.62;0;7.29;11.1;21.75;10.12;4.32;5.82;5.28;10.57;14.9;3.01;10.16;15.28;21.01;7.44;0;12.35;9.32;0;7.98;10.47;8.62;14.32;8.52;1.26
